start,end,duration,rain_sum,max_return_period,max_return_period_duration
2008-09-14 21:15:00,2008-09-15 07:18:00,0 days 10:03:00.000000000,6.2,0.2,8640
2008-09-22 11:52:00,2008-09-22 17:26:00,0 days 05:34:00.000000000,1.5,0.1,60
2008-09-25 12:41:00,2008-09-26 00:39:00,0 days 11:58:00.000000000,8.9,0.1,60
2008-10-03 00:38:00,2008-10-04 03:24:00,1 days 02:46:00.000000000,36.2,0.3,1080
2008-10-07 00:03:00,2008-10-07 02:08:00,0 days 02:05:00.000000000,0.2,0.2,5760
2008-10-07 13:18:00,2008-10-07 13:18:00,0 days 00:00:00.000000000,0.0,0.2,7200
2008-10-14 10:16:00,2008-10-14 10:16:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-10-15 16:12:00,2008-10-15 16:30:00,0 days 00:18:00.000000000,0.2,0.1,60
2008-10-16 23:47:00,2008-10-17 05:39:00,0 days 05:52:00.000000000,0.5,0.1,60
2008-10-17 11:06:00,2008-10-17 11:06:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-10-18 13:28:00,2008-10-18 13:28:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-10-22 15:05:00,2008-10-22 15:05:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-10-28 11:02:00,2008-10-28 11:02:00,0 days 00:00:00.000000000,0.1,0.1,60
2008-10-29 04:52:00,2008-10-29 07:19:00,0 days 02:27:00.000000000,2.7,0.1,60
2008-10-29 19:37:00,2008-10-29 19:37:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-10-30 01:28:00,2008-10-30 01:59:00,0 days 00:31:00.000000000,1.6,0.1,60
2008-10-31 15:10:00,2008-10-31 15:18:00,0 days 00:08:00.000000000,0.1,0.1,60
2008-11-01 04:37:00,2008-11-01 08:02:00,0 days 03:25:00.000000000,6.8,0.1,60
2008-11-03 10:01:00,2008-11-03 10:01:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-11-04 18:13:00,2008-11-04 18:16:00,0 days 00:03:00.000000000,0.0,0.1,60
2008-11-05 03:23:00,2008-11-05 03:43:00,0 days 00:20:00.000000000,0.4,0.1,60
2008-11-06 02:01:00,2008-11-06 02:03:00,0 days 00:02:00.000000000,0.0,0.1,60
2008-11-06 17:46:00,2008-11-07 00:35:00,0 days 06:49:00.000000000,2.0,0.1,60
2008-11-07 12:09:00,2008-11-08 11:52:00,0 days 23:43:00.000000000,16.8,0.1,60
2008-11-08 15:58:00,2008-11-08 16:34:00,0 days 00:36:00.000000000,0.2,0.1,60
2008-11-12 08:40:00,2008-11-12 08:40:00,0 days 00:00:00.000000000,0.0,0.1,60
2008-11-13 03:34:00,2008-11-13 23:46:00,0 days 20:12:00.000000000,9.0,0.1,60
2008-11-21 15:27:00,2008-11-21 19:26:00,0 days 03:59:00.000000000,4.2,0.1,60
2008-11-22 22:18:00,2008-11-22 22:36:00,0 days 00:18:00.000000000,0.2,0.1,60
2008-11-23 04:27:00,2008-11-23 05:42:00,0 days 01:15:00.000000000,0.1,0.1,60
2008-11-24 16:44:00,2008-11-24 19:55:00,0 days 03:11:00.000000000,1.0,0.1,60
2008-11-28 18:43:00,2008-11-29 04:30:00,0 days 09:47:00.000000000,11.7,0.1,60
2008-11-30 07:19:00,2008-11-30 08:36:00,0 days 01:17:00.000000000,0.5,0.1,60
2008-11-30 15:41:00,2008-11-30 17:17:00,0 days 01:36:00.000000000,2.9,0.1,60
2008-12-01 01:22:00,2008-12-01 03:50:00,0 days 02:28:00.000000000,0.9,0.1,60
2008-12-01 09:39:00,2008-12-01 13:58:00,0 days 04:19:00.000000000,8.7,0.1,60
2008-12-02 20:51:00,2008-12-03 01:54:00,0 days 05:03:00.000000000,6.5,0.1,60
2008-12-03 07:09:00,2008-12-03 07:35:00,0 days 00:26:00.000000000,0.2,0.1,60
2008-12-05 14:26:00,2008-12-05 18:10:00,0 days 03:44:00.000000000,1.8,0.1,60
2008-12-05 23:00:00,2008-12-05 23:58:00,0 days 00:58:00.000000000,0.8,0.1,60
2008-12-11 03:06:00,2008-12-13 10:36:00,2 days 07:30:00.000000000,53.2,0.4,2880
2008-12-13 16:45:00,2008-12-13 18:21:00,0 days 01:36:00.000000000,0.4,0.4,4320
2008-12-14 08:05:00,2008-12-14 09:12:00,0 days 01:07:00.000000000,0.1,0.4,4320
2008-12-14 16:57:00,2008-12-14 20:28:00,0 days 03:31:00.000000000,1.6,0.4,5760
2008-12-17 00:05:00,2008-12-17 03:07:00,0 days 03:02:00.000000000,1.9,0.4,8640
2008-12-17 10:39:00,2008-12-17 14:26:00,0 days 03:47:00.000000000,1.4,0.3,8640
2008-12-18 06:51:00,2008-12-18 18:50:00,0 days 11:59:00.000000000,10.6,0.2,8640
2008-12-18 23:00:00,2008-12-18 23:33:00,0 days 00:33:00.000000000,0.1,0.1,60
2008-12-20 19:07:00,2008-12-21 00:07:00,0 days 05:00:00.000000000,4.1,0.1,60
2008-12-21 18:27:00,2008-12-21 20:49:00,0 days 02:22:00.000000000,0.4,0.1,60
2008-12-25 10:25:00,2008-12-25 14:51:00,0 days 04:26:00.000000000,1.5,0.1,60
2009-01-14 07:00:00,2009-01-14 13:00:00,0 days 06:00:00.000000000,6.6,0.1,60
2009-01-14 18:52:00,2009-01-14 19:43:00,0 days 00:51:00.000000000,0.2,0.1,60
2009-01-15 01:13:00,2009-01-15 02:00:00,0 days 00:47:00.000000000,0.0,0.1,60
2009-01-21 09:19:00,2009-01-22 01:20:00,0 days 16:01:00.000000000,12.5,0.1,60
